i,scroll,segment,recipe,y0,x0,bin,mass_letter,key,frac_above,pitch_um
20,PHerc1667,20260105050000-w032_2026010505_flatboi,canon,20480,16384,0.87-0.90,0.8856,PHerc1667/segments/20260105050000-w032_2026010505_flatboi/ink-detection/downsampled/PHerc1667-20260105050000-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1477,2.399
22,PHercParis4,20260623150417-w064-068,canon,32768,57344,0.90-0.93,0.915,PHercParis4/segments/20260623150417-w064-068/ink-detection/downsampled/PHercParis4-20260623150417-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2309,2.4
24,PHerc0139,20260115000000-w044_2026011522,canon,12288,8192,0.93-0.95,0.9382,PHerc0139/segments/20260115000000-w044_2026011522/ink-detection/downsampled/PHerc0139-20260115000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1951,2.399
25,PHerc0814,20250928235953-auto_grown_20250928235953722,canon,4096,90112,0.30-0.50,0.3499,PHerc0814/segments/20250928235953-auto_grown_20250928235953722/ink-detection/downsampled/PHerc0814-20250928235953-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1758,2.399
26,PHercParis4,20260701183126-w038-045,canon,16384,122880,0.95-1.01,0.964,PHercParis4/segments/20260701183126-w038-045/ink-detection/downsampled/PHercParis4-20260701183126-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2149,2.4
27,PHercParis4,20260623161233-w101-103,canon,16384,86016,0.87-0.90,0.874,PHercParis4/segments/20260623161233-w101-103/ink-detection/downsampled/PHercParis4-20260623161233-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1493,2.4
28,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,32768,0.95-1.01,0.9666,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.182,2.399
31,PHerc0814,20250926203608-auto_grown_20250926203608932,canon,4096,4096,0.75-0.82,0.813,PHerc0814/segments/20250926203608-auto_grown_20250926203608932/ink-detection/downsampled/PHerc0814-20250926203608-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1459,2.399
32,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,20480,28672,0.95-1.01,0.9617,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1671,2.399
34,PHerc0139,20260206000001-w047_2026020613,canon,8192,12288,0.90-0.93,0.9014,PHerc0139/segments/20260206000001-w047_2026020613/ink-detection/downsampled/PHerc0139-20260206000001-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.168,2.399
35,PHercParis4,20260701183125-w028-037,canon,24576,114688,0.93-0.95,0.9481,PHercParis4/segments/20260701183125-w028-037/ink-detection/downsampled/PHercParis4-20260701183125-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2079,2.4
36,PHerc0139,20260112000000-w043_2026011217,canon,0,8192,0.65-0.75,0.6926,PHerc0139/segments/20260112000000-w043_2026011217/ink-detection/downsampled/PHerc0139-20260112000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0622,2.399
38,PHerc0139,20260219000000-w033_2026021913,canon,8192,4096,0.87-0.90,0.88,PHerc0139/segments/20260219000000-w033_2026021913/ink-detection/downsampled/PHerc0139-20260219000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2256,2.399
39,PHercParis4,20260623144957-w053-058,canon,36864,110592,0.65-0.75,0.7377,PHercParis4/segments/20260623144957-w053-058/ink-detection/downsampled/PHercParis4-20260623144957-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2382,2.4
40,PHerc0139,20260210000000-w058_2026021020,canon,4096,12288,0.50-0.65,0.5247,PHerc0139/segments/20260210000000-w058_2026021020/ink-detection/downsampled/PHerc0139-20260210000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2733,2.399
41,PHerc0814,20250928235953-auto_grown_20250928235953722,canon,4096,8192,0.65-0.75,0.6766,PHerc0814/segments/20250928235953-auto_grown_20250928235953722/ink-detection/downsampled/PHerc0814-20250928235953-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2047,2.399
42,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,4096,16384,0.82-0.87,0.8292,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0966,2.399
43,PHerc0139,20260112000000-w043_2026011217,canon,0,0,0.90-0.93,0.9022,PHerc0139/segments/20260112000000-w043_2026011217/ink-detection/downsampled/PHerc0139-20260112000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1548,2.399
45,PHerc0343P,20250902170441--4_b2,canon,0,0,0.50-0.65,0.5569,PHerc0343P/segments/20250902170441--4_b2/ink-detection/downsampled/PHerc0343P-20250902170441-2.215um-0.4m-111keV-volume-20260304131111-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0508,2.215
47,PHerc0343P,20250902171204--1_b2,canon,0,0,0.00-0.30,0.1456,PHerc0343P/segments/20250902171204--1_b2/ink-detection/downsampled/PHerc0343P-20250902171204-2.215um-0.4m-111keV-volume-20260304131111-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0127,2.215
48,PHercParis4,20260701183125-w028-037,canon,45056,45056,0.87-0.90,0.8986,PHercParis4/segments/20260701183125-w028-037/ink-detection/downsampled/PHercParis4-20260701183125-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2018,2.4
49,PHercParis4,20260701183146-w118-119,canon,53248,126976,0.30-0.50,0.4142,PHercParis4/segments/20260701183146-w118-119/ink-detection/downsampled/PHercParis4-20260701183146-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0597,2.4
51,PHerc0139,20260203000000-w032_2026020303,canon,4096,20480,0.90-0.93,0.9061,PHerc0139/segments/20260203000000-w032_2026020303/ink-detection/downsampled/PHerc0139-20260203000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2327,2.399
52,PHercParis4,20260623143441-w038-045,canon,36864,167936,0.95-1.01,0.9512,PHercParis4/segments/20260623143441-w038-045/ink-detection/downsampled/PHercParis4-20260623143441-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1818,2.4
54,PHercParis4,20260623144224-w046-052,canon,16384,73728,0.00-0.30,0.1229,PHercParis4/segments/20260623144224-w046-052/ink-detection/downsampled/PHercParis4-20260623144224-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.5002,2.4
55,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,4096,0,0.93-0.95,0.9454,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1446,2.399
57,PHerc0814,20250925222237-auto_grown_20250925222237459,canon,0,0,0.82-0.87,0.8579,PHerc0814/segments/20250925222237-auto_grown_20250925222237459/ink-detection/downsampled/PHerc0814-20250925222237-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1696,2.399
59,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,8192,0,0.93-0.95,0.9385,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1278,2.399
60,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,0,12288,0.90-0.93,0.9124,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1164,2.399
61,PHercParis4,20260701183125-w028-037,canon,36864,77824,0.93-0.95,0.9368,PHercParis4/segments/20260701183125-w028-037/ink-detection/downsampled/PHercParis4-20260701183125-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1858,2.4
62,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,12288,0.95-1.01,0.9653,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1546,2.399
63,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,45056,0.75-0.82,0.8192,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1204,2.399
65,PHerc0814,20250926051122-auto_grown_20250926051122829,canon,4096,81920,0.87-0.90,0.8984,PHerc0814/segments/20250926051122-auto_grown_20250926051122829/ink-detection/downsampled/PHerc0814-20250926051122-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1716,2.399
69,PHercParis4,20260623142658-w028-037,canon,0,77824,0.93-0.95,0.9383,PHercParis4/segments/20260623142658-w028-037/ink-detection/downsampled/PHercParis4-20260623142658-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1509,2.4
70,PHerc0814,20250928235953-auto_grown_20250928235953722,canon,4096,12288,0.75-0.82,0.7937,PHerc0814/segments/20250928235953-auto_grown_20250928235953722/ink-detection/downsampled/PHerc0814-20250928235953-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1333,2.399
71,PHercParis4,20260623164141-w113-115,canon,28672,24576,0.75-0.82,0.7562,PHercParis4/segments/20260623164141-w113-115/ink-detection/downsampled/PHercParis4-20260623164141-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2391,2.4
73,PHerc1667,20251212185248-w029_20251212185248662_flatboi,canon,0,16384,0.65-0.75,0.7382,PHerc1667/segments/20251212185248-w029_20251212185248662_flatboi/ink-detection/downsampled/PHerc1667-20251212185248-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2968,2.399
74,PHercParis4,20260623151729-w073-076,canon,12288,77824,0.82-0.87,0.8308,PHercParis4/segments/20260623151729-w073-076/ink-detection/downsampled/PHercParis4-20260623151729-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2066,2.4
75,PHercParis4,20260623142658-w028-037,canon,32768,77824,0.95-1.01,0.9559,PHercParis4/segments/20260623142658-w028-037/ink-detection/downsampled/PHercParis4-20260623142658-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1919,2.4
76,PHercParis4,20260603190005-5753_-5,canon,49152,0,0.00-0.30,0.2237,PHercParis4/segments/20260603190005-5753_-5/ink-detection/downsampled/PHercParis4-20260603190005-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0257,2.4
77,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,16384,4096,0.95-1.01,0.9799,PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1623,2.399
78,PHercParis4,20231016151002,canon,0,28672,0.90-0.93,0.9133,PHercParis4/segments/20231016151002/ink-detection/downsampled/PHercParis4-20231016151002-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1973,2.4
80,PHercParis4,20260623161233-w101-103,canon,28672,49152,0.50-0.65,0.6173,PHercParis4/segments/20260623161233-w101-103/ink-detection/downsampled/PHercParis4-20260623161233-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0776,2.4
81,PHerc0139,20260130000000-w031_2026013019,canon,0,12288,0.50-0.65,0.5227,PHerc0139/segments/20260130000000-w031_2026013019/ink-detection/downsampled/PHerc0139-20260130000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0756,2.399
82,PHerc1667,20251208130119-w028_20251208130119156_flatboi,canon,0,20480,0.75-0.82,0.7927,PHerc1667/segments/20251208130119-w028_20251208130119156_flatboi/ink-detection/downsampled/PHerc1667-20251208130119-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1195,2.399
83,PHercParis4,20260623142658-w028-037,canon,24576,114688,0.95-1.01,0.9527,PHercParis4/segments/20260623142658-w028-037/ink-detection/downsampled/PHercParis4-20260623142658-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1865,2.4
86,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,20480,0,0.95-1.01,0.9808,PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1577,2.399
87,PHercParis4,20260623142658-w028-037,canon,28672,49152,0.90-0.93,0.9046,PHercParis4/segments/20260623142658-w028-037/ink-detection/downsampled/PHercParis4-20260623142658-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1687,2.4
88,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,4096,61440,0.87-0.90,0.8828,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.154,2.399
89,PHercParis4,20260701183139-w098-100,canon,16384,163840,0.50-0.65,0.5366,PHercParis4/segments/20260701183139-w098-100/ink-detection/downsampled/PHercParis4-20260701183139-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1157,2.4
90,PHerc0814,20250925182632-auto_grown_20250925182632715,canon,4096,36864,0.65-0.75,0.6627,PHerc0814/segments/20250925182632-auto_grown_20250925182632715/ink-detection/downsampled/PHerc0814-20250925182632-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0828,2.399
91,PHerc0139,20260206000001-w047_2026020613,canon,8192,8192,0.82-0.87,0.8455,PHerc0139/segments/20260206000001-w047_2026020613/ink-detection/downsampled/PHerc0139-20260206000001-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1574,2.399
92,PHerc1667,20260105050000-w032_2026010505_flatboi,canon,0,16384,0.82-0.87,0.8472,PHerc1667/segments/20260105050000-w032_2026010505_flatboi/ink-detection/downsampled/PHerc1667-20260105050000-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1287,2.399
93,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,20480,4096,0.95-1.01,0.9701,PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1693,2.399
95,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,32768,0,0.30-0.50,0.3752,PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0198,2.399
96,PHerc0814,20250926051122-auto_grown_20250926051122829,canon,4096,86016,0.87-0.90,0.8852,PHerc0814/segments/20250926051122-auto_grown_20250926051122829/ink-detection/downsampled/PHerc0814-20250926051122-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1702,2.399
98,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,12288,86016,0.82-0.87,0.8693,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1131,2.399
99,PHerc0139,20260303000000-w034_2026030317,canon,8192,20480,0.87-0.90,0.8974,PHerc0139/segments/20260303000000-w034_2026030317/ink-detection/downsampled/PHerc0139-20260303000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1689,2.399
100,PHercParis4,20260701183129-w059-063,canon,16384,32768,0.65-0.75,0.7179,PHercParis4/segments/20260701183129-w059-063/ink-detection/downsampled/PHercParis4-20260701183129-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1441,2.4
101,PHerc0139,20250108000000-w025_2025010863,canon,0,16384,0.82-0.87,0.8472,PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1207,2.399
102,PHerc0814,20250928235953-auto_grown_20250928235953722,canon,4096,40960,0.50-0.65,0.6413,PHerc0814/segments/20250928235953-auto_grown_20250928235953722/ink-detection/downsampled/PHerc0814-20250928235953-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1123,2.399
104,PHerc0814,20250925222237-auto_grown_20250925222237459,canon,0,12288,0.82-0.87,0.821,PHerc0814/segments/20250925222237-auto_grown_20250925222237459/ink-detection/downsampled/PHerc0814-20250925222237-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1504,2.399
107,PHercParis4,20260701183139-w098-100,canon,61440,20480,0.82-0.87,0.8604,PHercParis4/segments/20260701183139-w098-100/ink-detection/downsampled/PHercParis4-20260701183139-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1399,2.4
108,PHerc1667,20260108140509-w011_20260108140509268_flatboi,canon,0,0,0.00-0.30,0.238,PHerc1667/segments/20260108140509-w011_20260108140509268_flatboi/ink-detection/downsampled/PHerc1667-20260108140509-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0429,2.399
109,PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,16384,12288,0.93-0.95,0.9486,PHerc1667/segments/20240304141531-w013_20240304141531_flatboi/ink-detection/downsampled/PHerc1667-20240304141531-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1428,2.399
110,PHerc0139,20260219000000-w033_2026021913,canon,12288,20480,0.75-0.82,0.8002,PHerc0139/segments/20260219000000-w033_2026021913/ink-detection/downsampled/PHerc0139-20260219000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.155,2.399
111,PHercParis4,20231012184424,canon,28672,16384,0.93-0.95,0.9337,PHercParis4/segments/20231012184424/ink-detection/downsampled/PHercParis4-20231012184424-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1714,2.4
112,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,16384,61440,0.87-0.90,0.8908,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1773,2.399
114,PHerc0139,20260126000000-w045_2026012619,canon,8192,4096,0.75-0.82,0.7923,PHerc0139/segments/20260126000000-w045_2026012619/ink-detection/downsampled/PHerc0139-20260126000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1709,2.399
115,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,65536,0.90-0.93,0.9103,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.194,2.399
116,PHerc0343P,20250511003658-tifxyz,canon,0,0,0.75-0.82,0.7782,PHerc0343P/segments/20250511003658-tifxyz/ink-detection/downsampled/PHerc0343P-20250511003658-2.215um-0.4m-111keV-volume-20260304131111-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0652,2.215
117,PHercParis4,20260623164141-w113-115,canon,12288,163840,0.82-0.87,0.8314,PHercParis4/segments/20260623164141-w113-115/ink-detection/downsampled/PHercParis4-20260623164141-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1459,2.4
118,PHercParis4,20260623141924-w010-027,canon,20480,61440,0.87-0.90,0.8893,PHercParis4/segments/20260623141924-w010-027/ink-detection/downsampled/PHercParis4-20260623141924-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1571,2.4
